k: 256 , secs: 0.000004276531200000239861 s. 
k: 256 , BW: 59.861599980840928481029550 MB/s 
k: 512 , secs: 0.000004929715199999898011 s. 
k: 512 , BW: 103.859955236361429342650808 MB/s 
k: 768 , secs: 0.000006166220799999384629 s. 
k: 768 , BW: 124.549545809335370449844049 MB/s 
k: 1024 , secs: 0.000007519155200000155064 s. 
k: 1024 , BW: 136.185511904313244713193853 MB/s 
k: 1280 , secs: 0.000008437273599999310980 s. 
k: 1280 , BW: 151.707774416620139845690574 MB/s 
k: 1536 , secs: 0.000009867494400000979154 s. 
k: 1536 , BW: 155.662616844236339375129319 MB/s 
k: 1792 , secs: 0.000011061068800000821804 s. 
k: 1792 , BW: 162.009660404595507543490385 MB/s 
k: 2048 , secs: 0.000011875430400000658990 s. 
k: 2048 , BW: 172.456907330271263845133944 MB/s 
k: 2304 , secs: 0.000013351065599998062519 s. 
k: 2304 , BW: 172.570495047251853293346358 MB/s 
k: 2560 , secs: 0.000014180940799999607635 s. 
k: 2560 , BW: 180.523988930273986852625967 MB/s 
k: 2816 , secs: 0.000015599206399998855662 s. 
k: 2816 , BW: 180.522003991190644001108012 MB/s 
k: 3072 , secs: 0.000016683161600001341100 s. 
k: 3072 , BW: 184.137759595864196171532967 MB/s 
k: 3328 , secs: 0.000017757491199999084436 s. 
k: 3328 , BW: 187.413861705879469354840694 MB/s 
k: 3584 , secs: 0.000018640332800002407733 s. 
k: 3584 , BW: 192.271245285896242194212391 MB/s 
k: 3840 , secs: 0.000019683584000000910007 s. 
k: 3840 , BW: 195.086423285506469937899965 MB/s 
k: 4096 , secs: 0.000021880192000000737713 s. 
k: 4096 , BW: 187.201282328777665497909766 MB/s 
k: 4352 , secs: 0.000022765337599996738482 s. 
k: 4352 , BW: 191.167821732660087263866444 MB/s 
k: 4608 , secs: 0.000024165171200000126235 s. 
k: 4608 , BW: 190.687662084511771354300436 MB/s 
k: 4864 , secs: 0.000025628134400001177965 s. 
k: 4864 , BW: 189.791419230257218941915198 MB/s 
